18176 | 濾掛咖啡 | CoFeel 凱飛不鏽鋼濾掛咖啡架/露營登山掛耳咖啡架附接漏盤(送凱飛濾掛咖啡5包-風味隨機) | 中國 | NT599
18175 | 器具配件 | CoFeel 凱飛304不鏽鋼韓式小菜盤/醬料盤14cm 4入 | 中國 | NT749
18166 | 器具配件 | CoFeel 凱飛304不鏽鋼韓式小菜盤/醬料盤14cm | 中國 | NT249
18165 | 濾掛咖啡 | CoFeel 凱飛不鏽鋼濾掛咖啡架/露營登山掛耳咖啡架 | 中國 | NT399
17821 | 濾掛咖啡 | CoFeel 凱飛嚴選醇香阿拉比卡濾掛咖啡/耳掛咖啡包10gx40包量販袋 | 巴西 | NT990
17820 | 濾掛咖啡 | CoFeel 凱飛嚴選醇香阿拉比卡濾掛咖啡/耳掛咖啡包10gx10包 | 巴西 | NT330
17816 | 咖啡豆 | CoFeel 凱飛鮮烘豆衣索比亞酒香莓人日曬G1淺中烘焙咖啡豆氣閥式豆罐裝一磅 | 衣索比亞 | NT1690
17815 | 咖啡豆 | CoFeel 凱飛鮮烘豆衣索比亞酒香莓人日曬G1淺中烘焙咖啡豆氣閥式豆罐裝半磅 | 衣索比亞 | NT899
17776 | 濾掛咖啡 | CoFeel 凱飛鮮烘豆瓜地馬拉花神濾掛咖啡/掛耳咖啡包10gx40包量販袋 | 瓜地馬拉 | NT880
17725 | 咖啡豆 | CoFeel 凱飛鮮烘豆衣索比亞酒香莓人日曬G1淺中烘焙咖啡豆一磅 | 衣索比亞 | NT1099
17724 | 咖啡豆 | CoFeel 凱飛鮮烘豆衣索比亞酒香莓人日曬G1淺中烘焙咖啡豆半磅 | 衣索比亞 | NT599
17661 | 濾掛咖啡 | CoFeel 凱飛鮮烘豆瓜地馬拉花神濾掛咖啡/掛耳咖啡包10gx20包 | 瓜地馬拉 | NT499
17660 | 濾掛咖啡 | CoFeel 凱飛鮮烘豆瓜地馬拉花神濾掛咖啡/掛耳咖啡包10gx10包 | 瓜地馬拉 | NT299
17524 | 禮盒/體驗 | CoFeel 凱飛鮮烘豆馬拉威酒香藝妓極品咖啡豆氣閥式豆罐裝半磅+御慈即食燕窩4瓶(啡常燕麗禮盒) | 馬拉威 | NT2388
17522 | 禮盒/體驗 | CoFeel 凱飛鮮烘豆極品咖啡豆氣閥式豆罐裝半磅+御慈即食燕窩4瓶(啡常燕麗禮盒) | 衣索比亞 | NT2088
17518 | 禮盒/體驗 | CoFeel 凱飛鮮烘豆馬拉威厭氧酒香藝妓極品咖啡豆氣閥式豆罐裝半磅+泉發蜂蜜250g 2罐(啡嚐親蜜禮盒/咖啡禮盒/蜂蜜禮盒) | 馬拉威 | NT2268
17516 | 禮盒/體驗 | CoFeel 凱飛鮮烘豆極品咖啡豆氣閥式豆罐裝半磅+泉發蜂蜜250g 2罐(啡嚐親蜜禮盒/咖啡禮盒/蜂蜜禮盒) | 衣索比亞 | NT1888
17253 | 生豆 | (生豆)E7HomeCafe一起烘咖啡 瓜地馬拉安地瓜花神水洗處理咖啡生豆1000克 | 瓜地馬拉 | NT990
17211 | 濾掛咖啡 | CoFeel 凱飛馬拉威厭氧酒香藝妓淺中焙極品咖啡豆氣閥式豆罐裝一磅+濾掛禮盒 | 馬拉威 | NT2280
17210 | 濾掛咖啡 | CoFeel 凱飛衣索比亞耶加雪菲G1淺中焙極品咖啡豆氣閥式豆罐裝一磅+濾掛禮盒 | 衣索比亞 | NT1880
17209 | 咖啡豆 | CoFeel 凱飛鮮烘豆肯亞AA淺中焙極品阿拉比卡咖啡豆氣閥式豆罐裝一磅 | 肯亞 | NT1490
17208 | 咖啡豆 | CoFeel 凱飛鮮烘豆肯亞AA淺中焙極品阿拉比卡咖啡豆氣閥式豆罐裝半磅 | 肯亞 | NT790
17090 | 咖啡豆 | CoFeel 凱飛鮮烘豆馬拉威厭氧酒香藝妓淺中焙阿拉比卡咖啡豆一磅 | 馬拉威 | NT1799
17089 | 咖啡豆 | CoFeel 凱飛鮮烘豆馬拉威厭氧酒香藝妓淺中焙阿拉比卡咖啡豆半磅 | 馬拉威 | NT949
17088 | 咖啡豆 | CoFeel 凱飛鮮烘豆肯亞AA淺中焙極品阿拉比卡咖啡豆一磅 | 肯亞 | NT899
17087 | 咖啡豆 | CoFeel 凱飛鮮烘豆肯亞AA淺中焙極品阿拉比卡咖啡豆半磅 | 肯亞 | NT499
17059 | 咖啡豆 | CoFeel 凱飛鮮烘豆衣索比亞耶加雪菲G1淺中焙極品阿拉比卡咖啡豆氣閥式豆罐裝一磅 | 衣索比亞 | NT1490
17058 | 咖啡豆 | CoFeel 凱飛鮮烘豆衣索比亞耶加雪菲G1淺中焙極品阿拉比卡咖啡豆氣閥式豆罐裝半磅 | 衣索比亞 | NT790
17045 | 咖啡豆 | CoFeel 凱飛鮮烘豆馬拉威厭氧酒香藝妓淺中焙極品阿拉比卡咖啡豆氣閥式豆罐裝一磅 | 馬拉威 | NT1880
17044 | 咖啡豆 | CoFeel 凱飛鮮烘豆馬拉威厭氧酒香藝妓淺中焙極品阿拉比卡咖啡豆氣閥式豆罐裝半磅 | 馬拉威 | NT990
17040 | 濾掛咖啡 | CoFeel 凱飛鮮烘豆禮盒耶加雪菲/黃金曼特寧單品濾掛咖啡/耳掛咖啡包10g x 20包 | 衣索比亞 | NT899
